file_path,insect_name,spectral_centroid,spectral_bandwidth,spectral_flatness,spectral_contrast,rms_energy,zero_crossing_rate,temporal_variance,chroma,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,amplitude,dominant_freq
/mnt/external_disk/InsectSound1000/2022725-16-33_Tuta_absoluta_000053_s7_ch0.wav,Tuta_absoluta,1823.8681342922719,2288.4369682888178,0.00038922337,21.962373272324545,0.0017522355,0.03317599826388889,3.2500184e-06,0.81103534,-634.82117,86.95973,-33.78614,66.6402,-24.005827,47.599625,-12.733161,29.365475,1.5351524,15.341308,11.59878,3.7630901,18.702509,-2.7225666,18.082947,-3.693157,16.399319,0.66822505,10.084192,4.0317283,0.0014491365,0.0
/mnt/external_disk/InsectSound1000/2022725-16-33_Tuta_absoluta_000057_s4_ch0.wav,Tuta_absoluta,770.7617148434127,1716.4852190127524,5.6997997e-05,21.717508792892797,0.007882054,0.007288049768518518,6.318296e-05,0.7272892,-610.73816,72.46504,-7.8374753,54.391155,-1.8876704,39.06448,4.7929163,27.002611,11.76331,17.197012,16.127546,9.853998,19.546219,5.596173,18.691729,6.1115804,16.479134,8.23726,11.329999,9.685204,0.006586489,21.533203125
/mnt/external_disk/InsectSound1000/202277-16-47_Tuta_absoluta_000026_s1_ch0.wav,Tuta_absoluta,2120.1171118950388,2347.103195719175,0.0008263475,21.93952456116676,0.0012968805,0.051798502604166664,1.8249463e-06,0.7931962,-630.9577,85.97132,-36.67127,65.159485,-26.955296,48.316437,-14.008329,28.649832,-0.8662116,12.704354,9.324554,1.7886564,17.672695,-4.0517225,17.732155,-4.0830083,15.905347,-0.44944313,9.672782,3.927783,0.001058037,0.0
/mnt/external_disk/InsectSound1000/2022628-16-22_Tuta_absoluta_000059_s3_ch0.wav,Tuta_absoluta,1743.2932584147989,2272.1332792078797,0.00038901003,21.313032623372425,0.002003592,0.030481409143518517,4.3687105e-06,0.79090655,-626.57135,83.49601,-24.763756,61.920258,-18.150383,43.87631,-7.9397335,28.65242,4.412026,15.13988,13.924099,4.462593,17.24572,-1.0974666,17.299473,-2.291968,13.987646,0.60906845,8.030212,3.4996076,0.0016684794,21.533203125
/mnt/external_disk/InsectSound1000/2022627-17-3_Tuta_absoluta_000042_s2_ch0.wav,Tuta_absoluta,1760.7649949913687,2206.3932397105596,0.0007614581,21.232311658300933,0.0018844425,0.04115577980324074,4.6247405e-06,0.64022684,-618.9745,90.040474,-16.83667,66.56762,-11.928746,47.978767,-3.1666205,29.369543,3.3913517,14.184743,11.886629,2.1045697,15.311322,-3.8217926,13.706062,-5.69735,10.172704,-2.3569129,5.96018,2.161388,0.0015222186,53.8330078125
/mnt/external_disk/InsectSound1000/202277-16-47_Tuta_absoluta_000057_s1_ch0.wav,Tuta_absoluta,1483.24660971697,2115.246191547631,0.00029813868,21.03213485512768,0.003218274,0.022243923611111112,1.5153887e-05,0.73920494,-615.64404,79.43217,-13.541919,57.54166,-7.5354238,40.59092,-1.6157193,25.694569,7.1221533,13.31726,12.240226,5.393063,15.789154,0.1861314,15.510112,0.4202091,13.744545,3.0984266,8.264091,5.6182456,0.0027432935,21.533203125
/mnt/external_disk/InsectSound1000/2022714-16-8_Tuta_absoluta_000044_s2_ch0.wav,Tuta_absoluta,2207.772437792934,2362.9415062872417,0.0009725373,21.883433089570698,0.0010703515,0.05771213107638889,1.2167699e-06,0.8222076,-637.863,90.91235,-39.680927,69.12237,-30.269224,50.16232,-16.546427,29.744923,-3.5216463,13.385089,9.364876,2.1387038,18.047142,-4.5201225,19.251753,-4.396393,17.327803,-0.93915397,10.215352,2.8662615,0.00089215307,0.0
/mnt/external_disk/InsectSound1000/2022711-16-27_Tuta_absoluta_000062_s4_ch0.wav,Tuta_absoluta,814.4215005081145,1759.6601020957748,1.8737426e-05,21.725193653954054,0.007965082,0.004783347800925926,6.5277105e-05,0.790131,-606.4158,81.24027,-2.792601,58.703884,-2.0571365,42.127586,3.8782856,28.347551,11.35186,17.139309,15.567804,7.4420857,18.436615,3.9275262,16.833282,2.697546,12.892949,3.0673733,7.796349,5.3703823,0.007109356,21.533203125
/mnt/external_disk/InsectSound1000/2022711-16-27_Tuta_absoluta_000023_s1_ch0.wav,Tuta_absoluta,1874.09363861865,2261.181087827881,0.00062199467,21.183985987564487,0.0015074096,0.044524016203703706,2.6878329e-06,0.7221737,-619.20386,89.20898,-23.517632,65.83891,-14.7796955,46.78912,-6.6684093,28.097769,2.6280742,13.433202,11.664948,2.7592158,15.938656,-3.454523,15.119981,-4.566994,12.034542,-1.6727666,6.702251,2.6403475,0.0012243439,0.0
/mnt/external_disk/InsectSound1000/2022714-16-8_Tuta_absoluta_000042_s5_ch0.wav,Tuta_absoluta,2043.1052612055496,2332.4884098532425,0.0005858679,21.978197500653046,0.0014127715,0.041191948784722224,2.2274237e-06,0.8138847,-631.646,82.70633,-33.389774,60.84272,-24.766594,44.075638,-11.23858,26.96419,-0.08009378,12.860641,10.061461,2.122395,16.89089,-2.112821,18.430319,-2.4079528,16.417757,1.4230016,9.80218,5.2814155,0.001180312,21.533203125
