file_name,SNR_composite,SNR_masked,RMS_energy_composite,RMS_energy_masked,RMS_energy_natural,entropy_composite,entropy_masked,entropy_natural,dominant_freq_composite,dominant_freq_masked,dominant_freq_natural,spectral_centroid_composite,spectral_centroid_masked,spectral_centroid_natural,cross_correlation_score
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.969794465649068,1.0106564547998307,0.25109673,0.5608717731432539,0.4992645854927307,-202.0696920428223,-286.46778954218985,-271.10439815221923,3.6,3.6,3934.0,2027.1306614341509,3862.0919103647257,4003.345973751312,0.02069267507493441
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-6.040008535192917,0.9618903203570848,0.25109673,0.5622584366062208,0.5033168439144504,-202.0696920428223,-256.54847414584447,-254.02327743984074,3.6,3.6,5438.0,2027.1306614341509,3860.7443454337613,4001.601804973203,0.015707227905537576
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.973948383028583,0.9992711849425084,0.25109673,0.5604050191560499,0.4995034095986495,-202.0696920428223,-239.55292952288042,-249.10301033210146,3.6,3.6,3157.6000000000004,2027.1306614341509,3859.6283614264526,3999.1429368639115,0.018157431545901184
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-6.005777643881157,0.950862223688314,0.25109673,0.5593363335468698,0.501337187260396,-202.0696920428223,-281.72195771548746,-269.7651684378596,3.6,3.6,7342.0,2027.1306614341509,3855.809641440842,3991.483924709509,0.015252725775100808
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.911969626868865,1.006117139446715,0.25109673,0.5568591706173897,0.49595185530076535,-202.0696920428223,-251.9346021783901,-250.35344126614638,3.6,3.6,1174.8,2027.1306614341509,3851.431571798501,3992.9765585076984,0.0172717999405991
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.992541329135088,0.987770997711499,0.25109673,0.5608628238447301,0.5005737878275209,-202.0696920428223,-254.28239343382558,-280.9395081530132,3.6,3.6,4762.8,2027.1306614341509,3861.630859117514,4003.894628519371,0.015454629181654243
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.940876466913004,1.0068931055151011,0.25109673,0.558765413811042,0.49760514402204065,-202.0696920428223,-260.66401299376923,-262.213782325916,3.6,3.6,6737.200000000001,2027.1306614341509,3848.2183031598643,3986.5358168508756,0.015258381029502456
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-6.015745879826464,0.9770497251588532,0.25109673,0.5616694700845942,0.5019128699251121,-202.0696920428223,-250.71956113610412,-246.12367238610958,3.6,3.6,4355.2,2027.1306614341509,3866.135094524296,4007.5366424934264,0.012844226870058402
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-6.005431607891644,0.969055789177665,0.25109673,0.5604868242072112,0.5013172149534348,-202.0696920428223,-257.31448609185173,-243.5990607155948,3.6,3.6,1665.2,2027.1306614341509,3865.767550190324,4005.84607145917,0.01393667499927919
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.976967981897792,0.9797822635794704,0.25109673,0.559343441485043,0.49967708923307624,-202.0696920428223,-245.4836149250809,-288.74682138142424,3.6,3.6,1521.6000000000001,2027.1306614341509,3863.5503652864504,3998.552163406444,0.014968963040675578
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.99066464193265,0.9632518052211868,0.25109673,0.5591609837248789,0.500465644737797,-202.0696920428223,-291.83894034318564,-302.2670743711277,3.6,3.6,3972.8,2027.1306614341509,3873.725386293453,4002.7718876905046,0.014551006373590735
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.999053324243279,1.0028372894203694,0.25109673,0.5622579030894331,0.500949219296801,-202.0696920428223,-271.9773806366312,-247.75049844704085,3.6,3.6,3537.6000000000004,2027.1306614341509,3847.859944256436,3988.9185471578867,0.014716348450407679
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.979608155699316,0.949705004370236,0.25109673,0.5575793688145761,0.49982899478720694,-202.0696920428223,-244.5196292085928,-255.09858594928687,3.6,3.6,3266.4,2027.1306614341509,3870.5465740661293,4005.8733679066813,0.013262743893743953
202254-16-17_Aphidoletes_aphidimyza_000023_s23_ch1.wav,-5.937832493753757,0.9598110795035852,0.25109673,0.5555500826842725,0.49743078867291585,-202.0696920428223,-278.1227681121826,-262.8154726315357,3.6,3.6,3542.0,2027.1306614341509,3861.7816257474365,3999.173152018048,0.017390704391482582
